iter	MultiClass
0	1.421599669
1	1.20437533
2	1.048222964
3	0.9292072982
4	0.8333854623
5	0.7560214132
6	0.6900489948
7	0.6344613641
8	0.5878011601
9	0.5463716226
10	0.5119037035
11	0.483003071
12	0.4572230333
13	0.4346128517
14	0.4133568897
15	0.3936906631
16	0.3775633482
17	0.3613111982
18	0.347297221
19	0.3357789465
20	0.3241090298
21	0.3134269662
22	0.3046683741
23	0.2970746337
24	0.2888703241
25	0.2813584415
26	0.2745162173
27	0.2694658086
28	0.2636459278
29	0.2593436107
30	0.2546676367
31	0.2507070016
32	0.2467618846
33	0.2433004847
34	0.2399260624
35	0.2367792987
36	0.2336561808
37	0.2308483145
38	0.2288331351
39	0.2263657538
40	0.2237935259
41	0.2213196878
42	0.2191424889
43	0.216908624
44	0.2148286949
45	0.2128074511
46	0.211366297
47	0.2096234264
48	0.2083001162
49	0.2070694728
50	0.205429815
51	0.2041576081
52	0.2028323971
53	0.2014619823
54	0.2000797113
55	0.1988016301
56	0.1975805234
57	0.1963486064
58	0.1955220538
59	0.1941519409
60	0.1931020476
61	0.1922674669
62	0.1915173068
63	0.1902553762
64	0.1894712422
65	0.1887700312
66	0.1879313502
67	0.1873703822
68	0.1867645651
69	0.1859659391
70	0.1851847189
71	0.1845876516
72	0.183699969
73	0.1829841295
74	0.1822289408
75	0.1816526255
76	0.180687086
77	0.1802967171
78	0.1798938958
79	0.1792940539
80	0.1787119017
81	0.1782369478
82	0.1769542599
83	0.1759881036
84	0.1751180914
85	0.1741860295
86	0.1736033494
87	0.1727856935
88	0.1723243092
89	0.1712133556
90	0.1711588804
91	0.1707077831
92	0.1702144817
93	0.16958756
94	0.1692702581
95	0.1688231377
96	0.1685077027
97	0.1681479954
98	0.1674504653
99	0.1671329763
100	0.1667181568
101	0.1663590321
102	0.1659752331
103	0.1656150553
104	0.1650446873
105	0.1647398035
106	0.1644626644
107	0.1638987906
108	0.1633709005
109	0.1631628926
110	0.1626869411
111	0.1619823494
112	0.1617606653
113	0.1610512537
114	0.1606527082
115	0.1601119582
116	0.1599152642
117	0.1591684149
118	0.1586088979
119	0.1583180033
120	0.158035004
121	0.1573254831
122	0.1567513628
123	0.1562957442
124	0.1560231752
125	0.1556733991
126	0.1553253758
127	0.154486116
128	0.1540132539
129	0.1537013195
130	0.1534870372
131	0.1531056317
132	0.1526770654
133	0.1520245496
134	0.1513756933
135	0.1510163287
136	0.1503288602
137	0.1496407371
138	0.149338532
139	0.1491289385
140	0.1487289385
141	0.1485467973
142	0.1480525976
143	0.1477592207
144	0.1472055552
145	0.1469754735
146	0.1467675505
147	0.1462217477
148	0.1457955093
149	0.1454258171
150	0.1450162727
151	0.1446535878
152	0.1443220495
153	0.1441035426
154	0.143958816
155	0.143378662
156	0.1431005127
157	0.1428797757
158	0.1427616716
159	0.1423980806
160	0.1418879822
161	0.141614592
162	0.1412676026
163	0.140992994
164	0.1407463855
165	0.140459995
166	0.1402196859
167	0.1398258903
168	0.1395513741
169	0.1393955308
170	0.1391369949
171	0.1387216509
172	0.1383973327
173	0.1381130713
174	0.1378199356
175	0.1375620297
176	0.1374269642
177	0.136897515
178	0.1364632061
179	0.1358965736
180	0.135706399
181	0.135545711
182	0.135207394
183	0.1347455389
184	0.1345484343
185	0.1341826214
186	0.1335370298
187	0.133128012
188	0.1327617039
189	0.1325612589
190	0.1323460936
191	0.1318863171
192	0.1315398147
193	0.1312436984
194	0.1305899199
195	0.130302409
196	0.1300918315
197	0.1298120789
198	0.1296051218
199	0.1291273805
