iter	Passed	Remaining
0	9	1915
1	19	1887
2	28	1898
3	37	1854
4	41	1630
5	51	1659
6	60	1665
7	63	1525
8	72	1536
9	81	1554
10	90	1562
11	93	1464
12	102	1481
13	112	1493
14	121	1498
15	130	1504
16	140	1509
17	149	1512
18	157	1496
19	160	1440
20	164	1398
21	174	1409
22	177	1362
23	186	1369
24	196	1373
25	205	1375
26	215	1378
27	224	1381
28	234	1381
29	244	1386
30	254	1386
31	263	1385
32	273	1384
33	283	1385
34	293	1381
35	302	1379
36	312	1378
37	324	1384
38	334	1380
39	343	1374
40	353	1371
41	363	1367
42	372	1359
43	382	1354
44	391	1348
45	401	1344
46	411	1339
47	421	1335
48	431	1328
49	441	1323
50	451	1317
51	460	1309
52	469	1302
53	479	1295
54	489	1290
55	498	1281
56	507	1274
57	517	1267
58	527	1259
59	536	1251
60	546	1245
61	556	1237
62	565	1229
63	574	1219
64	583	1211
65	592	1203
66	601	1194
67	611	1186
68	620	1177
69	630	1170
70	639	1161
71	649	1154
72	658	1145
73	668	1137
74	677	1128
75	686	1120
76	696	1112
77	706	1104
78	716	1096
79	725	1087
80	734	1078
81	744	1071
82	754	1063
83	764	1055
84	774	1047
85	783	1039
86	793	1030
87	802	1021
88	811	1012
89	820	1003
90	830	994
91	840	986
92	849	977
93	859	968
94	868	960
95	878	951
96	887	942
97	897	934
98	907	925
99	917	917
100	927	909
101	937	900
102	947	891
103	956	882
104	966	874
105	975	865
106	985	856
107	995	848
108	1005	839
109	1015	830
110	1024	821
111	1034	812
112	1043	803
113	1052	794
114	1062	785
115	1071	776
116	1081	767
117	1090	757
118	1099	748
119	1109	739
120	1119	730
121	1128	721
122	1138	712
123	1148	703
124	1157	694
125	1167	685
126	1176	676
127	1186	667
128	1196	658
129	1205	649
130	1216	640
131	1226	631
132	1236	622
133	1246	613
134	1256	604
135	1266	596
136	1276	586
137	1286	577
138	1295	568
139	1305	559
140	1314	550
141	1324	540
142	1334	531
143	1344	522
144	1353	513
145	1363	504
146	1373	495
147	1383	485
148	1392	476
149	1403	467
150	1413	458
151	1422	449
152	1431	439
153	1441	430
154	1451	421
155	1461	412
156	1471	403
157	1481	393
158	1491	384
159	1502	375
160	1512	366
161	1522	357
162	1533	347
163	1542	338
164	1551	329
165	1561	319
166	1571	310
167	1585	302
168	1597	293
169	1607	283
170	1618	274
171	1628	265
172	1639	255
173	1648	246
174	1658	236
175	1668	227
176	1677	218
177	1688	208
178	1697	199
179	1707	189
180	1717	180
181	1727	170
182	1737	161
183	1747	151
184	1757	142
185	1767	133
186	1778	123
187	1789	114
188	1799	104
189	1810	95
190	1821	85
191	1831	76
192	1841	66
193	1851	57
194	1861	47
195	1871	38
196	1881	28
197	1891	19
198	1901	9
199	1912	0
