iter	Logloss
0	0.6331369773
1	0.5837640513
2	0.5424126322
3	0.5064001566
4	0.4761532356
5	0.4503053728
6	0.4271160886
7	0.407686054
8	0.3894750162
9	0.3737453529
10	0.3596800852
11	0.3471554287
12	0.3362940301
13	0.3268205965
14	0.3188441003
15	0.3106735103
16	0.3035463708
17	0.2972344424
18	0.2917837926
19	0.286702157
20	0.2817485889
21	0.2780926775
22	0.2740809494
23	0.2706263589
24	0.2671777286
25	0.2643731102
26	0.2616135636
27	0.2588745658
28	0.2565885772
29	0.2543081751
30	0.2522403001
31	0.2503765129
32	0.248781375
33	0.2473701589
34	0.2459222538
35	0.2447988822
36	0.2433774207
37	0.2423362263
38	0.2414038018
39	0.2405781223
40	0.2399025133
41	0.2389228112
42	0.2379929932
43	0.2368755414
44	0.2359204648
45	0.2352164925
46	0.2344077941
47	0.2336111494
48	0.2330164354
49	0.2322037483
50	0.2321689987
51	0.2317081996
52	0.2311483805
53	0.2303817678
54	0.2297669552
55	0.2295468737
56	0.2288658789
57	0.2283232444
58	0.2277996376
59	0.2271000084
60	0.2265376531
61	0.2260078347
62	0.2255364946
63	0.2252457879
64	0.2246572979
65	0.2244094561
66	0.2239173248
67	0.2235037348
68	0.22308404
69	0.2225048064
70	0.2219054192
71	0.2217053093
72	0.2212684538
73	0.2209531794
74	0.2205989621
75	0.2202064475
76	0.2195737694
77	0.2190686388
78	0.2185986755
79	0.2182317774
80	0.2179201221
81	0.217637031
82	0.2172526622
83	0.2169786765
84	0.2166005814
85	0.2162936083
86	0.2159609507
87	0.2155677589
88	0.2153782296
89	0.2150483889
90	0.2147682512
91	0.214460322
92	0.2141849847
93	0.2138529537
94	0.2136078137
95	0.2133665343
96	0.2129304458
97	0.2127468293
98	0.2125235145
99	0.2122382763
