iter	Passed	Remaining
0	167	33382
1	186	18510
2	199	13102
3	209	10281
4	220	8584
5	224	7257
6	235	6479
7	244	5879
8	249	5290
9	264	5021
10	274	4720
11	286	4491
12	295	4257
13	305	4065
14	314	3884
15	324	3733
16	335	3607
17	344	3488
18	354	3378
19	365	3285
20	375	3197
21	388	3143
22	398	3064
23	416	3053
24	425	2981
25	436	2919
26	446	2859
27	456	2801
28	465	2746
29	475	2694
30	486	2649
31	494	2598
32	504	2553
33	513	2506
34	523	2467
35	533	2428
36	556	2451
37	565	2412
38	576	2378
39	586	2347
40	596	2313
41	605	2279
42	615	2246
43	624	2214
44	634	2186
45	644	2158
46	654	2131
47	664	2104
48	674	2078
49	684	2053
50	693	2026
51	703	2001
52	712	1977
53	722	1953
54	731	1928
55	742	1909
56	751	1885
57	760	1860
58	769	1839
59	779	1818
60	789	1799
61	799	1780
62	809	1760
63	819	1741
64	829	1722
65	839	1704
66	848	1684
67	858	1666
68	868	1648
69	876	1628
70	886	1610
71	896	1593
72	905	1575
73	915	1559
74	926	1543
75	935	1526
76	944	1509
77	954	1492
78	976	1496
79	986	1479
80	997	1465
81	1011	1455
82	1024	1443
83	1034	1428
84	1044	1412
85	1053	1396
86	1065	1384
87	1075	1369
88	1086	1354
89	1096	1340
90	1106	1325
91	1116	1310
92	1125	1295
93	1139	1284
94	1150	1271
95	1162	1258
96	1173	1246
97	1186	1234
98	1196	1221
99	1208	1208
100	1220	1195
101	1230	1181
102	1240	1168
103	1251	1155
104	1264	1144
105	1276	1131
106	1287	1119
107	1298	1105
108	1308	1092
109	1318	1079
110	1329	1066
111	1342	1054
112	1355	1043
113	1366	1030
114	1376	1017
115	1387	1004
116	1398	991
117	1408	978
118	1419	965
119	1429	953
120	1439	939
121	1450	927
122	1461	914
123	1471	902
124	1483	890
125	1494	877
126	1505	865
127	1518	853
128	1529	841
129	1539	829
130	1551	817
131	1561	804
132	1570	791
133	1580	778
134	1589	765
135	1598	752
136	1607	739
137	1616	726
138	1625	713
139	1634	700
140	1644	687
141	1653	675
142	1666	664
143	1675	651
144	1684	638
145	1693	626
146	1703	614
147	1713	601
148	1724	590
149	1734	578
150	1743	565
151	1753	553
152	1762	541
153	1771	529
154	1781	517
155	1789	504
156	1798	492
157	1808	480
158	1822	469
159	1837	459
160	1855	449
161	1873	439
162	1888	428
163	1903	417
164	1915	406
165	1929	395
166	1943	384
167	1958	373
168	1970	361
169	1981	349
170	1994	338
171	2004	326
172	2019	315
173	2031	303
174	2042	291
175	2053	280
176	2063	268
177	2078	256
178	2089	245
179	2103	233
180	2116	222
181	2129	210
182	2140	198
183	2156	187
184	2168	175
185	2180	164
186	2191	152
187	2202	140
188	2216	128
189	2227	117
190	2236	105
191	2245	93
192	2255	81
193	2264	70
194	2273	58
195	2282	46
196	2291	34
197	2301	23
198	2312	11
199	2324	0
